lokacija,povrsina,cena,razdalja,datum
"Primorsko-goranska, Crikvenica",73 m2,247.000 €,96.20 km,02.09.2025
"Primorsko-goranska, Opatija",43 m2,480.000 €,79.60 km,02.09.2025
"Primorsko-goranska, Crikvenica",300 m2,1.150.000 €,96.38 km,02.09.2025
"Primorsko-goranska, Kastav",160 m2,155.000 €,75.02 km,02.09.2025
"Primorsko-goranska, Opatija",60 m2,1.000 €,79.41 km,02.09.2025
"Primorsko-goranska, Opatija - Okolica",250 m2,100 €,80.57 km,02.09.2025
"Primorsko-goranska, Opatija - Okolica",1000 m2,1.455.000 €,80.80 km,02.09.2025
"Primorsko-goranska, Kostrena",143 m2,1.245.000 €,82.93 km,02.09.2025
"Primorsko-goranska, Opatija",86 m2,668.000 €,79.60 km,02.09.2025
"Istrska, Umag",37 m2,150.000 €,98.61 km,02.09.2025
"Primorsko-goranska, Opatija",126 m2,100 €,79.47 km,02.09.2025
"Ajdovščina, Planina",150 m2,Cena po dogovoru,48.07 km,02.09.2025
"Metlika, Metlika",65 m2,550 €,77.93 km,02.09.2025
"Zagrebška, Krašić",115 m2,330.000 €,88.53 km,02.09.2025
"Istrska, Umag",97.7 m2,495.000 €,98.75 km,02.09.2025
"Istrska, Umag",90.62 m2,525.000 €,98.67 km,02.09.2025
"Primorsko-goranska, Crikvenica",110.55 m2,350.000 €,96.13 km,02.09.2025
"Primorsko-goranska, Rijeka",114.8 m2,340.000 €,77.59 km,02.09.2025
"Koper, Koper",66 m2,950 €,82.09 km,01.09.2025
"Ljubljana Moste Polje, Fužine",25 m2,0 €,4.90 km,01.09.2025
"Vrhnika, Drenov Grič",100 m2,600 €,12.87 km,01.09.2025
"Šentjur, Goričica",181 m2,265.000 €,69.88 km,01.09.2025
"Podčetrtek, Vonarje",44.9 m2,135.000 €,87.39 km,01.09.2025
"Ljubljana, UKC",50.1 m2,199.000 €,3.01 km,01.09.2025
"Brežice, Dobova",57.1 m2,162.000 €,92.37 km,01.09.2025
"Ljubljana Moste Polje, Jarše",82 m2,1.350 €,5.11 km,01.09.2025
"Ljubljana Moste Polje, Jarše",81.5 m2,1.350 €,5.23 km,01.09.2025
"Ljubljana Moste Polje, Fužine",81 m2,1.150 €,5.01 km,01.09.2025
"Ljubljana Moste Polje, Jarše",82 m2,1.350 €,4.96 km,01.09.2025
"Koper, Koper",34 m2,600 €,80.50 km,01.09.2025
"Celje, Celje",25 m2,400 €,62.71 km,01.09.2025
"Ljubljana Vič Rudnik, Rudnik",56 m2,0 €,4.28 km,01.09.2025
"Ljubljana Moste Polje, Štepanjsko naselje",86 m2,280 €,5.12 km,01.09.2025
"Istrska, Umag",71 m2,238.000 €,98.74 km,01.09.2025
"Istrska, Umag",93 m2,340.000 €,98.73 km,01.09.2025
"Istrska, Umag",116 m2,449.460 €,98.53 km,01.09.2025
"Istrska, Umag",117 m2,390.000 €,98.61 km,01.09.2025
"Istrska, Umag",83 m2,359.000 €,98.73 km,01.09.2025
"Istrska, Umag",71 m2,279.000 €,98.86 km,01.09.2025
"Ljubljana Center, Mirje",12 m2,400 €,1.49 km,01.09.2025
"Tolmin, Tolmin",42 m2,129.500 €,60.11 km,01.09.2025
"Primorsko-goranska, Opatija",99.8 m2,100 €,79.50 km,01.09.2025
"Primorsko-goranska, Mrkopalj",100 m2,600 €,90.33 km,01.09.2025
"Primorsko-goranska, Kostrena",89 m2,1.200 €,82.98 km,01.09.2025
"Primorsko-goranska, Kostrena",92 m2,1.200 €,82.90 km,01.09.2025
"Hoče, Radizel",250 m2,650.000 €,99.21 km,01.09.2025
"Rogaška Slatina, Rogaška Slatina",45 m2,Cena po dogovoru,91.00 km,01.09.2025
"Primorsko-goranska, Vinodolska Općina",82 m2,320.000 €,93.94 km,01.09.2025
"Primorsko-goranska, Vinodolska Općina",54 m2,170.000 €,94.30 km,01.09.2025
"Primorsko-goranska, Lovran",187 m2,519.000 €,86.90 km,01.09.2025
"Primorsko-goranska, Crikvenica",80 m2,440.000 €,96.27 km,01.09.2025
"Primorsko-goranska, Matulji",130 m2,239.000 €,72.23 km,01.09.2025
"Primorsko-goranska, Rijeka",55 m2,281.000 €,77.56 km,01.09.2025
"Primorsko-goranska, Opatija - Okolica",75 m2,1.000 €,81.00 km,01.09.2025
"Primorsko-goranska, Crikvenica",135 m2,100 €,96.22 km,01.09.2025
"Primorsko-goranska, Opatija - Okolica",90 m2,327.000 €,80.73 km,01.09.2025
"Primorsko-goranska, Opatija",55 m2,375.000 €,79.58 km,01.09.2025
"Primorsko-goranska, Matulji",99 m2,240.000 €,72.08 km,01.09.2025
"Primorsko-goranska, Opatija",172.13 m2,759.500 €,79.56 km,01.09.2025
"Primorsko-goranska, Opatija - Okolica",210 m2,1.250.000 €,80.75 km,01.09.2025
"Primorsko-goranska, Crikvenica",40 m2,103.000 €,96.26 km,01.09.2025
"Primorsko-goranska, Crikvenica",70 m2,234.500 €,96.24 km,01.09.2025
"Primorsko-goranska, Crikvenica",115.22 m2,415.000 €,96.39 km,01.09.2025
"Primorsko-goranska, Opatija",80.94 m2,470.000 €,79.59 km,01.09.2025
"Primorsko-goranska, Matulji",80 m2,1.700 €,72.29 km,01.09.2025
"Splitsko-dalmatinska, Okrug",446 m2,980.000 €,70.51 km,01.09.2025
"Primorsko-goranska, Rijeka",55 m2,150.000 €,77.80 km,01.09.2025
"Primorsko-goranska, Rijeka",55 m2,150.000 €,77.62 km,01.09.2025
"Istrska, Umag",42 m2,255.000 €,98.79 km,01.09.2025
"Primorsko-goranska, Matulji",140 m2,285.000 €,72.31 km,01.09.2025
"Primorsko-goranska, Rijeka",91 m2,1.200 €,77.66 km,01.09.2025
"Primorsko-goranska, Matulji",63 m2,182.000 €,72.16 km,01.09.2025
"Primorsko-goranska, Vrbovsko",120 m2,98.000 €,87.18 km,01.09.2025
"Primorsko-goranska, Crikvenica",325 m2,1.500.000 €,96.36 km,01.09.2025
"Ljubljana Moste Polje, Nove Jarše",31 m2,460 €,5.74 km,01.09.2025
"Ljubljana Bežigrad, Črnuče",48 m2,980 €,8.50 km,01.09.2025
"Šentjur, Črnolica",65 m2,500 €,73.70 km,01.09.2025
"Medvode, Hraše",396 m2,599.000 €,15.10 km,01.09.2025
"Ljubljana Vič Rudnik, Rožna dolina",48 m2,750 €,459 km,31.08.2025
"Muta, Muta",39.2 m2,119.000 €,82.16 km,31.08.2025
"Vitanje, Vitanje",61.3 m2,450 €,72.64 km,31.08.2025
"Domžale, Domžale",20 m2,370 €,13.79 km,31.08.2025
"Celje, Celje",64.4 m2,169.000 €,62.40 km,31.08.2025
Hrvaška,60 m2,165.000 €,92.85 km,31.08.2025
"Ljubljana Šiška, Šiška",40 m2,750 €,2.75 km,31.08.2025
"Celje, Center",25 m2,400 €,64.31 km,31.08.2025
"Celje, Celje",27 m2,350 €,63.95 km,31.08.2025
"Celje, Celje",250 m2,Cena po dogovoru,63.09 km,31.08.2025
"Vojnik, Višnja vas",89.6 m2,195.000 €,67.55 km,31.08.2025
"Radlje ob Dravi, Vuhred",165 m2,110.000 €,81.47 km,31.08.2025
"Radlje ob Dravi, Vuhred",275 m2,200.000 €,81.47 km,31.08.2025
"Radlje ob Dravi, Vuhred",110 m2,130.000 €,81.47 km,31.08.2025
"Ljubljana Vič Rudnik, Rakova jelša",35 m2,450 €,2.62 km,31.08.2025
"Ajdovščina, Višnje",291 m2,169.000 €,41.35 km,31.08.2025
"Izola, Izola",50 m2,Cena po dogovoru,85.09 km,31.08.2025
"Ljubljana Šiška, Litostroj",24 m2,600 €,3.68 km,31.08.2025
"Izola, Izola",22 m2,Cena po dogovoru,85.02 km,31.08.2025
"Izola, Izola",70 m2,Cena po dogovoru,85.30 km,31.08.2025
"Trbovlje, Trbovlje",56.8 m2,78.000 €,44.52 km,31.08.2025
"Laško, Laško",60 m2,135.000 €,59.41 km,31.08.2025
"Celje, Celje",40 m2,450 €,62.28 km,31.08.2025
"Piran, Lucija",40 m2,260.000 €,90.85 km,31.08.2025
"Primorsko-goranska, Rijeka",74 m2,305.000 €,77.75 km,31.08.2025
"Primorsko-goranska, Crikvenica",200 m2,100 €,96.46 km,31.08.2025
"Primorsko-goranska, Rijeka",49.96 m2,239.000 €,77.43 km,31.08.2025
"Primorsko-goranska, Opatija - Okolica",55 m2,550 €,80.74 km,31.08.2025
"Primorsko-goranska, Rijeka",91 m2,1.200 €,77.63 km,31.08.2025
"Primorsko-goranska, Matulji",99 m2,240.000 €,72.08 km,31.08.2025
"Primorsko-goranska, Crikvenica",75.31 m2,280.000 €,96.17 km,31.08.2025
"Primorsko-goranska, Crikvenica",93.68 m2,275.000 €,96.12 km,31.08.2025
"Primorsko-goranska, Opatija - Okolica",78 m2,1.000 €,80.79 km,31.08.2025
"Primorsko-goranska, Crikvenica",55 m2,198.000 €,96.07 km,31.08.2025
"Primorsko-goranska, Crikvenica",37 m2,134.000 €,96.31 km,31.08.2025
"Primorsko-goranska, Crikvenica",44 m2,179.000 €,96.27 km,31.08.2025
"Primorsko-goranska, Kraljevica",755 m2,937.500 €,87.52 km,31.08.2025
"Primorsko-goranska, Crikvenica",115.22 m2,415.000 €,96.21 km,31.08.2025
"Primorsko-goranska, Delnice",250 m2,490.000 €,70.29 km,31.08.2025
"Primorsko-goranska, Opatija - Okolica",78 m2,1.000 €,80.86 km,31.08.2025
"Primorsko-goranska, Crikvenica",48 m2,177.000 €,96.11 km,31.08.2025
"Primorsko-goranska, Mošćenička Draga",30 m2,150.000 €,94.15 km,31.08.2025
"Primorsko-goranska, Mošćenička Draga",30 m2,150.000 €,94.23 km,31.08.2025
"Primorsko-goranska, Crikvenica",93.68 m2,275.000 €,96.39 km,31.08.2025
"Primorsko-goranska, Opatija",50 m2,900 €,79.49 km,31.08.2025
"Primorsko-goranska, Opatija",76.18 m2,1.500 €,79.61 km,31.08.2025
"Primorsko-goranska, Crikvenica",55 m2,198.000 €,96.17 km,31.08.2025
"Primorsko-goranska, Crikvenica",48 m2,205.000 €,96.33 km,31.08.2025
"Primorsko-goranska, Matulji",56 m2,175.000 €,72.20 km,31.08.2025
"Primorsko-goranska, Lovran",117 m2,696.150 €,86.67 km,31.08.2025
"Primorsko-goranska, Crikvenica",38 m2,183.000 €,96.27 km,31.08.2025
"Primorsko-goranska, Kastav",110 m2,395.000 €,75.28 km,31.08.2025
"Primorsko-goranska, Opatija",91.57 m2,480.000 €,79.45 km,31.08.2025
"Istrska, Buje",75.31 m2,140.000 €,92.98 km,31.08.2025
"Makole, Jelovec pri Makolah",70 m2,40.000 €,95.38 km,31.08.2025
"Rogaška Slatina, Tržišče",45 m2,450 €,92.47 km,31.08.2025
"Ljubljana, Črna vas",50 m2,1.200 €,3.90 km,31.08.2025
"Novo mesto, Uršna sela",40 m2,41.000 €,60.13 km,31.08.2025
Hrvaška,345 m2,400.000 €,82.45 km,31.08.2025
"Primorsko-goranska, Viškovo",80 m2,750 €,73.05 km,31.08.2025
"Primorsko-goranska, Delnice",234 m2,105.000 €,70.27 km,31.08.2025
"Primorsko-goranska, Rijeka",70 m2,800 €,77.69 km,31.08.2025
"Medvode, Dragočajna",280 m2,375.000 €,15.90 km,31.08.2025
"Zreče, Zreče",25 m2,Cena po dogovoru,79.73 km,31.08.2025
"Celje, Dečkovo polje",70 m2,600 €,63.42 km,31.08.2025
"Ljubljana Center, Center",40 m2,800 €,1.07 km,31.08.2025
"Ljubljana Šiška, Brod",55 m2,0 €,7.09 km,31.08.2025
"Ljubljana Šiška, Brod",55 m2,1 €,7.09 km,31.08.2025
"Ljubljana Šiška, Brod",39.2 m2,235.000 €,6.66 km,31.08.2025
"Zreče, Zreče",63.3 m2,139.000 €,78.62 km,31.08.2025
"Istrska, Umag",138 m2,380.000 €,98.74 km,31.08.2025
"Piran, Lucija",25 m2,600 €,90.79 km,30.08.2025
"Tolmin, Modrej",70 m2,Cena po dogovoru,58.72 km,30.08.2025
"Ravne na Koroškem, Ravne na Koroškem",54 m2,400 €,66.66 km,30.08.2025
"Izola, Izola",23 m2,300 €,84.95 km,30.08.2025
"Ljubljana Center, Prule",95 m2,314.600 €,1.62 km,30.08.2025
"Celje, Center",57 m2,143.000 €,63.45 km,30.08.2025
"Vojnik, Tomaž nad Vojnikom",342 m2,660.000 €,68.81 km,30.08.2025
"Piran, Portorož",50 m2,285.000 €,89.90 km,30.08.2025
"Podvelka, Podvelka",50 m2,65.000 €,88.83 km,30.08.2025
"Rogatec, Rogatec",33 m2,270 €,95.82 km,30.08.2025
"Istrska, Umag",227 m2,674.000 €,98.63 km,30.08.2025
"Istrska, Umag",104 m2,617.600 €,98.69 km,30.08.2025
"Istrska, Umag",129 m2,490.000 €,98.89 km,30.08.2025
"Istrska, Umag",100 m2,380.000 €,98.60 km,30.08.2025
"Istrska, Umag",98 m2,395.000 €,98.73 km,30.08.2025
"Istrska, Buzet",162 m2,390.000 €,82.73 km,30.08.2025
"Istrska, Buje",165 m2,640.000 €,92.94 km,30.08.2025
"Istrska, Buje",200 m2,330.000 €,92.90 km,30.08.2025
"Istrska, Umag",66 m2,337.265 €,98.86 km,30.08.2025
"Istrska, Umag",57 m2,278.793 €,98.70 km,30.08.2025
"Istrska, Umag",252 m2,1.211.000 €,98.67 km,30.08.2025
"Istrska, Umag",278 m2,1.350.000 €,98.80 km,30.08.2025
"Istrska, Buje",176 m2,670.000 €,92.99 km,30.08.2025
"Istrska, Umag",280 m2,1.350.000 €,98.66 km,30.08.2025
"Istrska, Grožnjan",200 m2,1.400.000 €,92.54 km,30.08.2025
"Istrska, Umag",74 m2,240.000 €,98.77 km,30.08.2025
"Istrska, Umag",140 m2,570.000 €,98.80 km,30.08.2025
"Ljubljana Vič Rudnik, Vič - Dolgi most",85 m2,1.400 €,2.03 km,30.08.2025
"Ljubljana Moste Polje, Moste",25 m2,60.000 €,5.42 km,30.08.2025
"Koper, Koper",34.44 m2,185.000 €,80.35 km,30.08.2025
"Primorsko-goranska, Mošćenička Draga",82.46 m2,340.000 €,94.31 km,30.08.2025
"Primorsko-goranska, Mošćenička Draga",82.46 m2,340.000 €,94.36 km,30.08.2025
"Primorsko-goranska, Crikvenica",32 m2,94.000 €,96.21 km,30.08.2025
"Primorsko-goranska, Crikvenica",32 m2,94.000 €,96.11 km,30.08.2025
"Primorsko-goranska, Crikvenica",25 m2,83.000 €,96.28 km,30.08.2025
"Primorsko-goranska, Crikvenica",32 m2,135.000 €,96.37 km,30.08.2025
"Primorsko-goranska, Crikvenica",43 m2,125.000 €,96.30 km,30.08.2025
"Primorsko-goranska, Crikvenica",32 m2,135.000 €,96.23 km,30.08.2025
"Primorsko-goranska, Opatija",68 m2,1.100 €,79.37 km,30.08.2025
"Primorsko-goranska, Opatija",68 m2,1.100 €,79.63 km,30.08.2025
"Primorsko-goranska, Crikvenica",48 m2,205.000 €,96.29 km,30.08.2025
"Primorsko-goranska, Crikvenica",40 m2,103.000 €,96.28 km,30.08.2025
"Primorsko-goranska, Crikvenica",42 m2,173.000 €,96.22 km,30.08.2025
"Primorsko-goranska, Crikvenica",37 m2,134.000 €,96.21 km,30.08.2025
"Primorsko-goranska, Crikvenica",70 m2,290.000 €,96.22 km,30.08.2025
"Primorsko-goranska, Mošćenička Draga",118.18 m2,220.000 €,94.40 km,30.08.2025
"Primorsko-goranska, Kastav",120 m2,157.000 €,75.09 km,30.08.2025
"Primorsko-goranska, Opatija - Okolica",209 m2,625.000 €,80.83 km,30.08.2025
"Primorsko-goranska, Crikvenica",80 m2,230.000 €,96.09 km,30.08.2025
"Primorsko-goranska, Crikvenica",43 m2,125.000 €,96.25 km,30.08.2025
"Primorsko-goranska, Crikvenica",48 m2,177.000 €,96.32 km,30.08.2025
"Primorsko-goranska, Crikvenica",410 m2,790.000 €,96.06 km,30.08.2025
"Primorsko-goranska, Crikvenica",67 m2,210.000 €,96.11 km,30.08.2025
"Primorsko-goranska, Crikvenica",44 m2,179.000 €,96.33 km,30.08.2025
"Primorsko-goranska, Lokve",95 m2,150.000 €,74.99 km,30.08.2025
"Primorsko-goranska, Crikvenica",72 m2,270.000 €,96.40 km,30.08.2025
"Primorsko-goranska, Crikvenica",72 m2,270.000 €,96.10 km,30.08.2025
"Primorsko-goranska, Lovran",115 m2,684.250 €,86.95 km,30.08.2025
"Primorsko-goranska, Fužine",101 m2,160.000 €,84.37 km,30.08.2025
"Primorsko-goranska, Lovran",116 m2,690.200 €,86.86 km,30.08.2025
"Primorsko-goranska, Matulji",185 m2,650.000 €,72.38 km,30.08.2025
"Žalec, Žalec",53 m2,60.000 €,58.82 km,30.08.2025
"Vitanje, Hudinja",125 m2,150 €,68.06 km,30.08.2025
"Istrska, Umag",137 m2,650.000 €,98.70 km,30.08.2025
"Ljubljana Moste Polje, Jarše",81 m2,1.350 €,5.15 km,30.08.2025
"Ljubljana Šiška, Šiška",31 m2,700 €,3.38 km,29.08.2025
"Žalec, Žalec",43 m2,Cena po dogovoru,56.77 km,29.08.2025
"Ruše, Smolnik",121.6 m2,589.000 €,94.03 km,29.08.2025
"Bistrica ob Sotli, Kunšperk",86 m2,85.000 €,90.91 km,29.08.2025
"Nova Gorica, Šmihel",98.85 m2,155.000 €,60.73 km,29.08.2025
"Cerklje na Gorenjskem, Grad",417 m2,248.000 €,25.06 km,29.08.2025
"Šentjur, Šentjur",320 m2,350.000 €,71.93 km,29.08.2025
"Ljubljana Šiška, Vižmarje",95 m2,450.000 €,6.60 km,29.08.2025
"Istrska, Umag",62.35 m2,179.000 €,98.63 km,29.08.2025
"Kozina, Hrpelje",63 m2,"277.999,99 €",66.15 km,29.08.2025
"Velenje, Velenje",55 m2,Cena po dogovoru,59.75 km,29.08.2025
"Primorsko-goranska, Viškovo",400 m2,415.000 €,72.99 km,29.08.2025
"Primorsko-goranska, Ravna Gora",220 m2,870.000 €,82.87 km,29.08.2025
"Istrska, Umag",468 m2,900.000 €,98.88 km,29.08.2025
"Primorsko-goranska, Rijeka",76.77 m2,240.000 €,77.60 km,29.08.2025
"Primorsko-goranska, Crikvenica",80 m2,390.000 €,96.16 km,29.08.2025
"Primorsko-goranska, Crikvenica",95 m2,460.000 €,96.29 km,29.08.2025
"Istrska, Buje",168 m2,430.000 €,93.20 km,29.08.2025
"Primorsko-goranska, Rijeka",73 m2,167.000 €,77.45 km,29.08.2025
"Istrska, Umag",79.02 m2,280.000 €,98.70 km,29.08.2025
"Primorsko-goranska, Crikvenica",115 m2,450.000 €,96.25 km,29.08.2025
"Primorsko-goranska, Crikvenica",228 m2,910.000 €,96.08 km,29.08.2025
"Primorsko-goranska, Opatija - Okolica",40 m2,265.000 €,80.60 km,29.08.2025
"Ilirska Bistrica, Podgrad",160 m2,49.000 €,64.86 km,29.08.2025
"Velenje, Velenje",25 m2,530 €,59.96 km,29.08.2025
"Selnica ob Dravi, Zgornja Selnica",112 m2,145.000 €,97.14 km,29.08.2025
"Koper, Ankaran",60 m2,1.000 €,77.54 km,29.08.2025
"Istrska, Umag",74 m2,285.000 €,98.69 km,29.08.2025
"Istrska, Umag",74 m2,283.000 €,98.72 km,29.08.2025
"Piran, Portorož",20 m2,450 €,91.56 km,29.08.2025
"Piran, Portorož",33 m2,600 €,91.56 km,29.08.2025
"Koper, Pobegi",30 m2,590 €,77.66 km,29.08.2025
"Piran, Portorož",70 m2,800 €,91.56 km,29.08.2025
"Primorsko-goranska, Crikvenica",25 m2,83.000 €,96.24 km,29.08.2025
"Primorsko-goranska, Opatija",97 m2,520.000 €,79.54 km,29.08.2025
"Primorsko-goranska, Brod Moravice",270 m2,330.000 €,73.80 km,29.08.2025
"Primorsko-goranska, Opatija",114.55 m2,525.000 €,79.50 km,29.08.2025
"Primorsko-goranska, Crikvenica",75.31 m2,280.000 €,96.26 km,29.08.2025
"Primorsko-goranska, Opatija - Okolica",73 m2,259.000 €,80.88 km,29.08.2025
"Primorsko-goranska, Opatija",101.2 m2,399.000 €,79.69 km,29.08.2025
"Primorsko-goranska, Opatija",33.67 m2,225.000 €,79.56 km,29.08.2025
"Primorsko-goranska, Lovran",207 m2,1.231.650 €,86.92 km,29.08.2025
"Primorsko-goranska, Crikvenica",80 m2,230.000 €,96.05 km,29.08.2025
"Primorsko-goranska, Crikvenica",67 m2,210.000 €,96.17 km,29.08.2025
"Istrska, Buje",75.31 m2,140.000 €,93.15 km,29.08.2025
"Primorsko-goranska, Crikvenica",101 m2,384.000 €,96.35 km,29.08.2025
"Primorsko-goranska, Opatija",39 m2,220.000 €,79.53 km,29.08.2025
"Primorsko-goranska, Kraljevica",286 m2,581.000 €,87.54 km,29.08.2025
"Primorsko-goranska, Matulji",130 m2,390.000 €,72.16 km,29.08.2025
"Primorsko-goranska, Opatija - Okolica",85 m2,200 €,80.81 km,29.08.2025
"Primorsko-goranska, Crikvenica",106 m2,320.000 €,96.11 km,29.08.2025
"Primorsko-goranska, Opatija",45 m2,199.000 €,79.56 km,29.08.2025
"Primorsko-goranska, Kastav",106.8 m2,275.000 €,75.12 km,29.08.2025
"Primorsko-goranska, Crikvenica",55.97 m2,305.000 €,96.26 km,29.08.2025
"Primorsko-goranska, Crikvenica",58.85 m2,264.825 €,96.42 km,29.08.2025
"Primorsko-goranska, Crikvenica",112.34 m2,505.530 €,96.02 km,29.08.2025
"Primorsko-goranska, Crikvenica",120.32 m2,541.440 €,96.19 km,29.08.2025
"Primorsko-goranska, Vinodolska Općina",60 m2,185.000 €,94.23 km,29.08.2025
"Primorsko-goranska, Crikvenica",170 m2,800.000 €,96.23 km,29.08.2025
"Primorsko-goranska, Crikvenica",100 m2,349.000 €,96.32 km,29.08.2025
"Primorsko-goranska, Crikvenica",51.17 m2,230.265 €,96.12 km,29.08.2025
"Ljubljana Bežigrad, BS 3",74 m2,1.200 €,4.72 km,29.08.2025
"Primorsko-goranska, Kastav",110 m2,100 €,75.23 km,29.08.2025
"Hoče, Radizel",133 m2,239.000 €,99.21 km,29.08.2025
"Ljubljana Center, Trnovo",24.6 m2,600 €,1.74 km,29.08.2025
"Lovrenc na Pohorju, Lovrenc na Pohorju",170.3 m2,229.000 €,87.95 km,29.08.2025
"Šentjur, Turno",200 m2,Cena po dogovoru,74.40 km,29.08.2025
"Trbovlje, Trbovlje",63 m2,300 €,44.32 km,29.08.2025
"Rogaška Slatina, Ratanska vas",67 m2,580 €,90.27 km,29.08.2025
"Ljubljana Bežigrad, Bežigrad",100 m2,Cena po dogovoru,4.11 km,29.08.2025
"Istrska, Umag",98.05 m2,530.000 €,98.91 km,29.08.2025
"Ljubljana Center, Center",30 m2,750 €,2.14 km,28.08.2025
"Ljubljana Moste Polje, Štepanjsko naselje",36 m2,800 €,4.76 km,28.08.2025
"Postojna, Postojna",80 m2,800 €,36.61 km,28.08.2025
"Ljubljana Center, Center",52 m2,1.100 €,3.50 km,28.08.2025
"Primorsko-goranska, Lovran",254.03 m2,2.458.000 €,86.88 km,28.08.2025
"Primorsko-goranska, Crikvenica",52 m2,260.000 €,96.42 km,28.08.2025
"Primorsko-goranska, Lovran",68.56 m2,270.000 €,86.91 km,28.08.2025
"Primorsko-goranska, Kostrena",123.48 m2,10.000 €,83.00 km,28.08.2025
"Primorsko-goranska, Omišalj",61.78 m2,350.000 €,94.07 km,28.08.2025
"Primorsko-goranska, Crikvenica",106.2 m2,210.000 €,96.22 km,28.08.2025
"Primorsko-goranska, Kraljevica",406 m2,850.000 €,87.50 km,28.08.2025
"Primorsko-goranska, Opatija",39.1 m2,220.000 €,79.57 km,28.08.2025
"Istrska, Buje",120 m2,770.000 €,93.02 km,28.08.2025
"Primorsko-goranska, Opatija",205.88 m2,1.200.000 €,79.68 km,28.08.2025
"Primorsko-goranska, Opatija",121.93 m2,850.000 €,79.68 km,28.08.2025
"Celje, Savinja",65 m2,135.000 €,63.30 km,28.08.2025
"Primorsko-goranska, Bakar",120 m2,1.400 €,78.38 km,28.08.2025
"Primorsko-goranska, Rijeka",107 m2,330.000 €,77.56 km,28.08.2025
"Zreče, Zreče",67.1 m2,690 €,78.01 km,28.08.2025
"Primorsko-goranska, Rijeka",58 m2,225.000 €,77.57 km,28.08.2025
"Miren, Kostanjevica na Krasu",105.9 m2,90.000 €,66.22 km,28.08.2025
"Ruše, Ruše",130.1 m2,135.000 €,95.69 km,28.08.2025
"Ljubljana Bežigrad, Nadgorica",78 m2,1.000 €,8.35 km,28.08.2025
"Koper, Koper",30 m2,600 €,82.18 km,28.08.2025
"Celje, Celje",72.9 m2,200.000 €,62.66 km,28.08.2025
"Črnomelj, Črnomelj",32 m2,300 €,76.11 km,28.08.2025
"Primorsko-goranska, Opatija - Okolica",400 m2,100 €,80.83 km,28.08.2025
"Primorsko-goranska, Mošćenička Draga",225 m2,830.000 €,94.26 km,28.08.2025
"Primorsko-goranska, Mošćenička Draga",410 m2,1.500.000 €,94.31 km,28.08.2025
"Primorsko-goranska, Crikvenica",60 m2,298.000 €,96.36 km,28.08.2025
"Primorsko-goranska, Opatija - Okolica",250 m2,390.000 €,80.99 km,28.08.2025
"Primorsko-goranska, Rijeka",37 m2,750 €,77.59 km,28.08.2025
"Istrska, Umag",121 m2,450.000 €,98.66 km,28.08.2025
"Primorsko-goranska, Vinodolska Općina",200 m2,330.000 €,94.18 km,28.08.2025
"Istrska, Umag",147 m2,530.000 €,98.70 km,28.08.2025
"Primorsko-goranska, Viškovo",170 m2,354.000 €,73.24 km,28.08.2025
"Primorsko-goranska, Opatija",72.74 m2,340.000 €,79.72 km,28.08.2025
"Istrska, Umag",79.02 m2,255.000 €,98.60 km,28.08.2025
"Primorsko-goranska, Crikvenica",185 m2,830.000 €,96.40 km,28.08.2025
"Primorsko-goranska, Omišalj",260 m2,850.000 €,94.08 km,28.08.2025
"Istrska, Buzet",116 m2,680.000 €,82.59 km,28.08.2025
"Primorsko-goranska, Vinodolska Općina",150 m2,349.000 €,94.27 km,28.08.2025
"Primorsko-goranska, Opatija",64.19 m2,465.000 €,79.45 km,28.08.2025
"Primorsko-goranska, Lovran",117 m2,696.150 €,87.07 km,28.08.2025
"Primorsko-goranska, Opatija",102 m2,275.000 €,79.48 km,28.08.2025
"Primorsko-goranska, Rijeka",38.29 m2,140.000 €,77.39 km,28.08.2025
"Primorsko-goranska, Crikvenica",38 m2,183.000 €,96.26 km,28.08.2025
"Primorsko-goranska, Crikvenica",71 m2,320.000 €,96.25 km,28.08.2025
"Primorsko-goranska, Crikvenica",55.96 m2,251.820 €,96.24 km,28.08.2025
"Primorsko-goranska, Matulji",55 m2,175.000 €,72.12 km,28.08.2025
"Primorsko-goranska, Crikvenica",70 m2,290.000 €,96.41 km,28.08.2025
"Primorsko-goranska, Lovran",196 m2,1.166.200 €,86.89 km,28.08.2025
"Primorsko-goranska, Vinodolska Općina",300 m2,449.000 €,94.26 km,28.08.2025
"Primorsko-goranska, Opatija - Okolica",85 m2,200 €,80.65 km,28.08.2025
